       jd             rh            delta   phase                  r                  g
2458292.5 2.727061387463 3.67138337266506  6.8083 19.839914650966314  20.33770500051638
2458293.5 2.726453572212 3.67270343881314  6.7218 19.836180503149244  20.33397085269931
2458294.5 2.725838353125 3.67389865253987  6.6394  19.83252838392813 20.330318733478194
2458295.5 2.725215734156 3.67496913505438  6.5614  19.82897623018256 20.326766579732624
2458296.5 2.724585719312 3.67591496404081  6.4879 19.825532753931142 20.323323103481208
2458297.5 2.723948312655 3.67673617256892  6.4191  19.82221150141706 20.320001850967124
2458298.5   2.7233035183 3.67743274912895  6.3551 19.819021285806276  20.31681163535634
2458299.5 2.722651340417 3.67800463871128  6.2962   19.8159805926171 20.313770942167167
2458300.5 2.721991783233 3.67845174475964  6.2424 19.813093333220507 20.310883682770573
2458301.5 2.721324851026 3.67877393167664  6.1941 19.810382816256208 20.308173165806274
2458302.5 2.720650548135 3.67897102746136  6.1511 19.807842777550178 20.305633127100243
2458303.5 2.719968878951 3.67904282609001  6.1139  19.80550111956341 20.303291469113475
2458304.5 2.719279847923 3.67898908945639  6.0823 19.803350899082798 20.301141248632863
2458305.5 2.718583459558 3.67880954908841  6.0566  19.80140952051815 20.299199870068215
2458306.5 2.717879718417 3.67850390844967  6.0369 19.799684065762754  20.29747441531282
2458307.5 2.717168629123 3.67807184738142  6.0231  19.79817111873869 20.295961468288755
2458308.5 2.716450196353  3.6775130309852  6.0154 19.796881710516203  20.29467206006627
2458309.5 2.715724424845 3.67682712559365  6.0138 19.795816331477592 20.293606681027658
2458310.5 2.714991319395 3.67601382371939  6.0183 19.794974907488935    20.292765257039
2458311.5 2.714250884857 3.67507287725148  6.0288  19.79435181985328 20.292142169403345
2458312.5 2.713503126147 3.67400413372415  6.0455    19.793955932025 20.291746281575065
2458313.5 2.712748048241 3.67280756610664  6.0682 19.793775626086923  20.29156597563699
2458314.5 2.711985656175 3.67148328572466  6.0968 19.793803873019314  20.29159422256938
2458315.5 2.711215955047 3.67003153284959  6.1313  19.79403821741597 20.291828566966036
2458316.5 2.710438950015 3.66845264803679  6.1716  19.79447085758239 20.292261207132455
2458317.5 2.709654646302 3.66674703396538  6.2176  19.79509366549857 20.292884015048635
2458318.5 2.708863049188  3.6649151185035  6.2691 19.795893339426257 20.293683688976323
2458319.5  2.70806416402 3.66295732589585   6.326 19.796861280901968 20.294651630452034
2458320.5 2.707257996203 3.66087405795833  6.3882  19.79798868938376 20.295779038933826
2458321.5 2.706444551209 3.65866568371976  6.4554 19.799257021477597 20.297047371027663
2458322.5  2.70562383457 3.65633253467882  6.5276 19.800662164555813  20.29845251410588
2458323.5 2.704795851881   3.653874903052  6.6045 19.802185644085547 20.299975993635613
2458324.5 2.703960608804 3.65129304120071  6.6861 19.803823330182617 20.301613679732682
2458325.5 2.703118111061 3.64858716128365  6.7721 19.805557021547028 20.303347371097093
